timestamp,iter,lr,eta,time,data_time,memory,cls,reg,d0.cls,d0.reg,d1.cls,d1.reg,d2.cls,d2.reg,d3.cls,d3.reg,d4.cls,d4.reg,seg,seg_dice,cls_t0,reg_t0,d0.cls_t0,d0.reg_t0,d1.cls_t0,d1.reg_t0,d2.cls_t0,d2.reg_t0,d3.cls_t0,d3.reg_t0,d4.cls_t0,d4.reg_t0,seg_t0,seg_dice_t0,cls_t1,reg_t1,d0.cls_t1,d0.reg_t1,d1.cls_t1,d1.reg_t1,d2.cls_t1,d2.reg_t1,d3.cls_t1,d3.reg_t1,d4.cls_t1,d4.reg_t1,seg_t1,seg_dice_t1,cls_t2,reg_t2,d0.cls_t2,d0.reg_t2,d1.cls_t2,d1.reg_t2,d2.cls_t2,d2.reg_t2
"2026-04-13 02:15:44,664",50,1.993e-05,9 days 15:38:38,4.971,0.535,30722.0,0.2851,0.6527,0.3628,1.3437,0.3323,1.0405,0.3161,0.8579,0.3055,0.7534,0.2861,0.6905,0.0257,0.0519,0.2828,0.6784,0.8296,2.1918,0.5261,1.2801,0.4435,0.948,0.3494,0.8115,0.2891,0.724,0.0379,0.0771,0.2352,0.6018,0.3698,1.3069,0.3081,0.9815,0.2924,0.8017,0.2599,0.7071,0.2377,0.6457,0.0278,0.0591,0.2375,0.6367,0.3482,1.2084,0.3002,0.9594,0.2796,0.8205
"2026-04-13 02:19:22,119",100,2.327e-05,9 days 1:05:48,4.349,0.104,30722.0,0.311,0.7374,0.4057,1.3757,0.356,1.075,0.3373,0.9172,0.3147,0.8345,0.308,0.7762,0.0298,0.0609,0.3587,0.834,0.955,2.6403,0.6458,1.5621,0.5374,1.1559,0.4356,0.9821,0.3801,0.8829,0.0488,0.0886,0.2828,0.7504,0.4493,1.4695,0.3877,1.1142,0.3654,0.9435,0.3137,0.8542,0.288,0.7919,0.0364,0.0678,0.2811,0.7029,0.39,1.3193,0.3319,1.0362,0.3131,0.8889
"2026-04-13 02:22:59,027",150,2.66e-05,8 days 20:01:33,4.338,0.099,30794.0,0.2934,0.6311,0.3822,1.2276,0.3363,0.9573,0.3167,0.8213,0.2994,0.7214,0.2933,0.6633,0.0276,0.0537,0.3035,0.7092,0.7967,2.1832,0.5257,1.2896,0.442,0.9713,0.3563,0.8327,0.308,0.7532,0.0429,0.0819,0.2517,0.5965,0.3803,1.2487,0.3208,0.9195,0.3013,0.7625,0.2704,0.6793,0.2517,0.6318,0.0315,0.0593,0.2584,0.6023,0.3564,1.2335,0.3071,0.9186,0.2867,"0.7668,"
"2026-04-13 02:26:35,552",200,2.993e-05,8 days 17:22:29,4.33,0.105,30794.0,0.266,0.6378,0.3461,1.2501,0.3071,0.962,0.2904,0.8025,0.2771,0.7096,0.2689,0.6657,0.0279,0.0513,0.3054,0.7419,0.8514,2.3669,0.5391,1.3863,0.4522,1.0181,0.3617,0.878,0.3126,0.7861,0.0438,0.0813,0.2539,0.636,0.3977,1.2466,0.3339,0.943,0.3085,0.8005,0.2794,0.7097,0.2612,0.6649,0.0318,0.0617,0.2537,0.6273,0.3517,1.2049,0.3007,0.9035,0.284,"0.7742,"
"2026-04-13 02:30:11,710",250,3.327e-05,8 days 15:41:37,4.323,0.11,30794.0,0.3091,0.741,0.3858,1.3615,0.3379,1.0722,0.3244,0.928,0.317,0.8487,0.3061,0.7811,0.0321,0.0592,0.3361,0.8374,0.8882,2.3703,0.5708,1.4607,0.4908,1.118,0.4037,0.9771,0.3495,0.8895,0.0527,0.0928,0.2903,0.7233,0.4399,1.464,0.3779,1.1097,0.354,0.9194,0.3222,0.8182,0.3002,0.7621,0.0385,0.0658,0.2757,0.6968,0.3781,1.3401,0.3272,1.0137,0.3148,"0.8595,"
"2026-04-13 02:33:48,701",300,3.66e-05,8 days 14:41:07,4.34,0.101,30825.0,0.3237,0.8627,0.4215,1.5362,0.3619,1.2099,0.349,1.046,0.3345,0.9366,0.3244,0.8976,0.0335,0.063,0.3917,0.9632,0.9068,2.5205,0.5991,1.5933,0.5268,1.2597,0.4376,1.1101,0.3995,1.0098,0.0538,0.0989,0.3239,0.7989,0.473,1.5444,0.3927,1.1828,0.3613,1.0049,0.3333,0.9086,0.3223,0.8381,0.0397,0.0751,0.3091,0.8117,0.4241,1.4947,0.3544,1.1661,0.3312,"1.0103,"
"2026-04-13 02:37:24,256",350,3.993e-05,8 days 13:45:01,4.311,0.105,30825.0,0.2998,0.7241,0.3754,1.3889,0.3225,1.0794,0.3187,0.9304,0.3034,0.8299,0.2999,0.7625,0.0323,0.0603,0.3248,0.7957,0.8309,2.2873,0.544,1.4063,0.4662,1.0634,0.3769,0.933,0.3331,0.8505,0.0525,0.0962,0.2655,0.6864,0.415,1.3584,0.3429,1.0315,0.3261,0.8841,0.2911,0.7813,0.2644,0.7301,0.0372,0.0667,0.2736,0.7482,0.3772,1.3854,0.3214,1.0582,0.3009,"0.9233,"
"2026-04-13 02:40:59,350",400,4.327e-05,8 days 12:59:11,4.302,0.108,30825.0,0.3479,0.9117,0.421,1.5815,0.3872,1.2813,0.3756,1.1125,0.3544,1.0134,0.3466,0.9485,0.0347,0.0666,0.3735,0.9545,0.9074,2.518,0.6107,1.5762,0.52,1.2532,0.436,1.0949,0.3854,0.9954,0.0529,0.0989,0.3155,0.8774,0.4634,1.6351,0.3897,1.2641,0.3726,1.0911,0.3351,0.976,0.3156,0.9086,0.0381,0.0728,0.3083,0.9162,0.42,1.5851,0.3663,1.2394,0.335,"1.0837,"
"2026-04-13 02:44:36,164",450,4.66e-05,8 days 12:33:16,4.336,0.112,30825.0,0.3759,0.8633,0.4945,1.6302,0.4292,1.2791,0.4057,1.0856,0.38,0.9782,0.37,0.9161,0.0352,0.0643,0.4384,0.9785,0.9647,2.6625,0.6468,1.6646,0.557,1.3105,0.4784,1.1377,0.4452,1.0434,0.0617,0.1116,0.3811,0.8855,0.5284,1.6622,0.4556,1.2764,0.4151,1.1054,0.4006,0.9842,0.3809,0.9323,0.0441,0.0798,0.3512,0.8724,0.4791,1.604,0.415,1.252,0.3907,"1.0719,"
"2026-04-13 02:48:11,041",500,4.993e-05,8 days 12:01:00,4.298,0.105,30825.0,0.3965,0.8663,0.4938,1.6238,0.4228,1.2815,0.4095,1.0929,0.3906,0.9831,0.3868,0.9164,0.0336,0.0586,0.4365,0.9539,0.9707,2.6261,0.672,1.6187,0.5898,1.282,0.5057,1.116,0.4471,1.0088,0.0575,0.1011,0.3873,0.9217,0.5695,1.71,0.4458,1.3184,0.4243,1.137,0.3938,1.0395,0.3828,0.9701,0.0447,0.0751,0.3789,0.8496,0.527,1.6409,0.4528,1.2691,0.4268,"1.0848,"
